symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
JAAA,0.0,$0.00,$0.00,$9.96,20.0,$-50.08,-20.0,$-50.31,$5.27,0.0
JBBB,0.0,$0.00,$0.00,$73.69,50.0,$-47.34,-50.0,$-48.00,$40.61,0.0
JEPI,0.0,$0.00,$0.00,$4004.71,2670.0,$-54.77,-2670.0,$-55.00,$2395.35,0.0
JNJ,0.0,$0.00,$0.00,$209.41,30.0,$-155.81,-30.0,$-161.60,$35.70,0.0
JNK,0.0,$0.00,$0.00,$5.79,122.0,$-95.00,-122.0,$-94.10,$11.71,0.0
JPC,0.0,$0.00,$0.00,$59.33,400.0,$-6.24,-400.0,$-6.30,$34.36,0.0
JPIE,0.0,$0.00,$0.00,$-13.27,20.0,$-46.25,-20.0,$-45.35,$4.74,0.0
JPM,0.0,$0.00,$0.00,$409.06,30.0,$-128.13,-30.0,$-141.10,$20.00,0.0
JPMPRM,0.0,$0.00,$0.00,$60.48,100.0,$-18.92,-100.0,$-19.00,$52.50,0.0
JXN,0.0,$0.00,$0.00,$75.60,50.0,$-36.21,-50.0,$-37.72,$0.00,0.0
KAUFX,0.0,$0.00,$0.00,$136866.41,0.0,$0.00,-29058.7,$-4.71,$0.00,29058.7
KKR,0.0,$0.00,$0.00,$157.64,88.0,$-51.21,-88.0,$-53.00,$0.00,0.0
KMI,0.0,$0.00,$0.00,$116.08,273.0,$-17.74,-273.0,$-17.84,$77.12,0.0
KO,0.0,$0.00,$0.00,$46.59,60.0,$-61.94,-60.0,$-62.71,$0.00,0.0
KR,0.0,$0.00,$0.00,$90.92,200.0,$-47.16,-200.0,$-47.25,$71.00,0.0
LADR,0.0,$0.00,$0.00,$4187.47,2100.0,$-9.90,-2100.0,$-11.33,$977.50,0.0
LAND,0.0,$0.00,$0.00,$-40.36,100.0,$-13.61,-100.0,$-13.15,$5.72,0.0
LEG,0.0,$0.00,$0.00,$6.47,100.0,$-31.27,-100.0,$-31.33,$0.00,0.0
LGGNY,0.0,$0.00,$0.00,$753.89,850.0,$-15.41,-850.0,$-15.58,$609.01,0.0
LMB,0.0,$0.00,$0.00,$6694.38,750.0,$-25.26,-750.0,$-34.19,$0.00,0.0
LMND,0.0,$0.00,$0.00,$30.99,20.0,$-12.57,-20.0,$-14.12,$0.00,0.0
LNC,0.0,$0.00,$0.00,$1872.77,1000.0,$-27.23,-1000.0,$-27.50,$360.00,0.0
LTC,0.0,$0.00,$0.00,$26.27,142.0,$-34.43,-142.0,$-34.45,$23.18,0.0
MAA,0.0,$0.00,$0.00,$-503.31,76.0,$-142.42,-76.0,$-134.42,$105.00,0.0
MDV,0.0,$0.00,$0.00,$499.30,671.0,$-12.00,-671.0,$-12.61,$90.27,0.0
META,0.0,$0.00,$0.00,$92.70,25.0,$-212.50,-25.0,$-216.21,$0.00,0.0
MFA,0.0,$0.00,$0.00,$90.72,250.0,$-9.82,-250.0,$-9.90,$70.00,0.0
MFC,0.0,$0.00,$0.00,$4180.34,1007.0,$-18.86,-1007.0,$-22.35,$557.26,0.0
MGK,0.0,$0.00,$0.00,$42.71,3.0,$-269.04,-3.0,$-283.28,$0.00,0.0
MO,0.0,$0.00,$0.00,$1596.64,2400.0,$-44.60,-2400.0,$-44.32,$1499.00,0.0
MOAT,0.0,$0.00,$0.00,$1288.63,503.0,$-77.56,-503.0,$-79.90,$145.70,0.0
MOD,0.0,$0.00,$0.00,$1101.08,200.0,$-97.27,-200.0,$-90.00,$0.00,0.0
MPC,0.0,$0.00,$0.00,$1367.29,107.7,$-117.76,-107.7,$-130.32,$15.75,0.0
MPLX,0.0,$0.00,$0.00,$757.84,400.0,$-33.61,-400.0,$-35.50,$0.00,0.0
MPW,0.0,$0.00,$0.00,$185.49,1250.0,$-8.07,-1250.0,$-8.22,$0.00,0.0
MRK,0.0,$0.00,$0.00,$351.04,200.0,$-128.27,-200.0,$-127.00,$154.00,0.0
MSFT,-0.0,$0.00,$0.00,$75.31,7.7,$-302.00,-7.7,$-311.80,$0.00,0.0
MTDR,0.0,$0.00,$0.00,$557.83,400.0,$-67.36,-400.0,$-62.50,$40.00,0.0
NAT,0.0,$0.00,$0.00,$1434.93,2000.0,$-3.68,-2000.0,$-4.32,$150.00,0.0
NEE,0.0,$0.00,$0.00,$1382.57,600.0,$-67.49,-600.0,$-68.91,$0.00,0.0
NEP,0.0,$0.00,$0.00,$109.17,350.0,$-43.11,-350.0,$-42.68,$163.62,0.0
NET,0.0,$0.00,$0.00,$280.83,61.0,$-59.96,-61.0,$-64.56,$0.00,0.0
NLCP,0.0,$0.00,$0.00,$-28.06,500.0,$-12.56,-500.0,$-12.50,$0.00,0.0
NLOP,0.0,$0.00,$0.00,$2053.31,0.0,$0.00,-159.0,$-12.79,$19.72,159.0
NLY,0.0,$0.00,$0.00,$36.45,250.0,$-19.97,-250.0,$-20.12,$0.00,0.0
NLYPRF,0.0,$0.00,$0.00,$25.96,200.0,$-24.60,-200.0,$-24.73,$0.00,0.0
NMIH,0.0,$0.00,$0.00,$49.97,100.0,$-28.50,-100.0,$-29.00,$0.00,0.0
NNN,0.0,$0.00,$0.00,$638.96,563.0,$-41.06,-563.0,$-40.24,$812.45,0.0
NOBL,0.0,$0.00,$0.00,$82.08,100.0,$-91.12,-100.0,$-91.94,$0.00,0.0
NOC,300.0,$36.32,$25.80,$10895.68,0.0,$0.00,-17.0,$-455.29,$1179.00,317.0
NPCT,0.0,$0.00,$0.00,$53.93,750.0,$-10.23,-750.0,$-10.30,$0.00,0.0
NRDBY,0.0,$0.00,$0.00,$77.79,100.0,$-10.63,-100.0,$-11.41,$0.00,0.0
NS,0.0,$0.00,$0.00,$459.97,200.0,$-15.60,-200.0,$-17.50,$80.00,0.0
NSPRB,0.0,$0.00,$0.00,$-2.15,10.0,$-23.48,-10.0,$-23.27,$0.00,0.0
NSPRC,0.0,$0.00,$0.00,$-2.91,10.0,$-25.51,-10.0,$-25.22,$0.00,0.0
NTB,0.0,$0.00,$0.00,$59.33,0.0,$0.00,0.0,$0.00,$0.00,0.0
NTES,0.0,$0.00,$0.00,$170.29,100.0,$-89.58,-100.0,$-91.28,$0.00,0.0
NTST,0.0,$0.00,$0.00,$84.07,200.0,$-17.68,-200.0,$-18.10,$0.00,0.0
NVDA,0.0,$0.00,$0.00,$1886.43,200.0,$-130.79,-200.0,$-128.00,$0.00,0.0
NVS,0.0,$0.00,$0.00,$670.01,200.0,$-103.79,-200.0,$-100.00,$633.32,0.0
NXST,0.0,$0.00,$0.00,$7.27,2.0,$-169.91,-2.0,$-173.55,$0.00,0.0
NYCB,0.0,$0.00,$0.00,$12292.79,250.0,$-9.10,-250.0,$-9.42,$0.00,0.0
NYMT,0.0,$0.00,$0.00,$8.49,50.0,$-9.98,-50.0,$-10.15,$0.00,0.0
OBDC,0.0,$0.00,$0.00,$5882.28,3013.0,$-13.62,-3013.0,$-14.83,$2233.00,0.0
OCCI,0.0,$0.00,$0.00,$-3.21,20.0,$-9.21,-20.0,$-9.05,$0.00,0.0
OCSL,0.0,$0.00,$0.00,$90.08,325.0,$-18.57,-325.0,$-18.84,$0.00,0.0
OFS,0.0,$0.00,$0.00,$835.81,1000.0,$-9.90,-1000.0,$-10.40,$330.00,0.0
OHI,0.0,$0.00,$0.00,$306.97,100.0,$-29.00,-100.0,$-31.40,$67.00,0.0
OKTA,0.0,$0.00,$0.00,$200.87,100.0,$-90.08,-100.0,$-83.00,$0.00,0.0
OOPS,0.0,$0.00,$0.00,$-36.08,0.0,$0.00,0.0,$0.00,$0.00,0.0
OP,0.0,$0.00,$0.00,$54.70,0.0,$0.00,-21.0,$-2.58,$0.50,21.0
OPRA,0.0,$0.00,$0.00,$90.99,100.0,$-9.75,-100.0,$-10.66,$0.00,0.0
ORI,0.0,$0.00,$0.00,$129.94,250.0,$-24.99,-250.0,$-25.51,$0.00,0.0
OUT,0.0,$0.00,$0.00,$68.95,166.0,$-15.67,-166.0,$-16.09,$0.00,0.0
OWL,0.0,$0.00,$0.00,$1496.77,1450.0,$-10.61,-1450.0,$-11.50,$203.00,0.0
PAA,0.0,$0.00,$0.00,$1934.35,1000.0,$-13.13,-1000.0,$-14.59,$470.80,0.0
PARR,0.0,$0.00,$0.00,$3964.28,959.3,$-31.35,-959.3,$-35.48,$0.00,0.0
PBF,0.0,$0.00,$0.00,$-19.97,7.2,$-48.20,-7.2,$-45.43,$0.00,0.0
PCAR,0.0,$0.00,$0.00,$202.17,100.0,$-105.53,-100.0,$-113.48,$0.00,0.0
PCH,0.0,$0.00,$0.00,$348.37,118.0,$-49.50,-118.0,$-52.01,$53.10,0.0
PCTY,0.0,$0.00,$0.00,$-72.72,200.0,$-170.40,-200.0,$-145.00,$0.00,0.0
PEAK,0.0,$0.00,$0.00,$16.24,200.0,$-21.07,-200.0,$-21.15,$0.00,0.0
PFE,0.0,$0.00,$0.00,$57.70,212.0,$-33.64,-212.0,$-33.00,$88.04,0.0
PFIX,0.0,$0.00,$0.00,$-14.40,3.0,$-105.25,-3.0,$-100.45,$0.00,0.0
PINE,0.0,$0.00,$0.00,$1205.44,1300.0,$-16.09,-1300.0,$-16.90,$152.63,0.0
PK,0.0,$0.00,$0.00,$87.09,400.0,$-13.78,-400.0,$-13.85,$60.00,0.0
PLD,0.0,$0.00,$0.00,$26.75,1.0,$-123.57,-1.0,$-121.67,$0.00,0.0
PM,0.0,$0.00,$0.00,$263.46,50.0,$-94.25,-50.0,$-98.25,$63.50,0.0
PR,0.0,$0.00,$0.00,$93.85,0.0,$0.00,-6.6,$-14.23,$0.00,6.6
PRU,0.0,$0.00,$0.00,$241.04,100.0,$-106.77,-100.0,$-105.00,$130.00,0.0
PSA,0.0,$0.00,$0.00,$1.96,1.0,$-307.87,-1.0,$-309.83,$0.00,0.0
PSX,-0.0,$0.00,$0.00,$670.82,147.5,$-128.78,-147.5,$-130.42,$46.20,0.0
PYPL,0.0,$0.00,$0.00,$13.27,9.0,$-73.68,-9.0,$-75.15,$0.00,0.0
QQH,0.0,$0.00,$0.00,$149.68,250.0,$-48.48,-250.0,$-50.46,$20.54,0.0
QQQ,0.0,$0.00,$0.00,$28.50,15.0,$-333.33,-15.0,$-335.23,$0.00,0.0
QTRX,0.0,$0.00,$0.00,$871.51,500.0,$-24.75,-500.0,$-25.00,$0.00,0.0
QUBT,0.0,$0.00,$0.00,$4.99,125.0,$-1.31,-125.0,$-1.35,$0.00,0.0
RAAX,0.0,$0.00,$0.00,$49.95,200.0,$-25.75,-200.0,$-26.00,$0.00,0.0
RACE,0.0,$0.00,$0.00,$542.94,20.0,$-306.08,-20.0,$-333.23,$0.00,0.0
RBLX,0.0,$0.00,$0.00,$40.59,10.0,$-42.16,-10.0,$-46.22,$0.00,0.0
REG,0.0,$0.00,$0.00,$1108.55,275.0,$-60.62,-275.0,$-64.00,$178.75,0.0
REXR,0.0,$0.00,$0.00,$-0.43,1.0,$-58.38,-1.0,$-57.95,$0.00,0.0
RITM,0.0,$0.00,$0.00,$94.93,1000.0,$-7.97,-1000.0,$-8.06,$0.00,0.0
RMR,0.0,$0.00,$0.00,$137.45,250.0,$-24.00,-250.0,$-24.15,$100.00,0.0
ROAD,0.0,$0.00,$0.00,$509.16,200.0,$-56.77,-200.0,$-55.00,$0.00,0.0
ROOT,0.0,$0.00,$0.00,$2429.08,300.0,$-57.14,-300.0,$-47.00,$0.00,0.0
RQI,0.0,$0.00,$0.00,$432.89,1100.0,$-11.78,-1100.0,$-12.02,$168.00,0.0
RSP,0.0,$0.00,$0.00,$157.60,23.0,$-151.02,-23.0,$-152.47,$0.00,0.0
RTX,0.0,$0.00,$0.00,$1875.10,200.0,$-72.95,-200.0,$-80.50,$59.00,0.0
SAR,0.0,$0.00,$0.00,$107.84,124.0,$-23.38,-124.0,$-24.25,$0.00,0.0
SBOW,0.0,$0.00,$0.00,$-11.34,12.7,$-35.25,-12.7,$-34.36,$0.00,0.0
SCHD,0.0,$0.00,$0.00,$4820.52,1633.0,$-72.99,-1633.0,$-75.43,$936.41,0.0
SCHH,0.0,$0.00,$0.00,$-36.36,0.0,$0.00,0.0,$0.00,$0.00,0.0
SCHW,0.0,$0.00,$0.00,$483.15,270.0,$-52.54,-270.0,$-54.33,$0.00,0.0
SE,0.0,$0.00,$0.00,$1511.69,500.0,$-45.22,-500.0,$-43.70,$0.00,0.0
SLRC,0.0,$0.00,$0.00,$374.92,500.0,$-14.75,-500.0,$-15.09,$204.99,0.0
SLVM,0.0,$0.00,$0.00,$103.86,13.0,$-46.50,-13.0,$-46.85,$0.00,0.0
SOFI,0.0,$0.00,$0.00,$39.98,235.0,$-5.83,-235.0,$-6.00,$0.00,0.0
SPG,0.0,$0.00,$0.00,$50.22,33.0,$-111.00,-33.0,$-112.52,$0.00,0.0
SPH,0.0,$0.00,$0.00,$69.09,400.0,$-15.14,-400.0,$-15.23,$32.50,0.0
SPHD,0.0,$0.00,$0.00,$275.88,200.0,$-42.01,-200.0,$-42.00,$0.00,0.0
SPLG,0.0,$0.00,$0.00,$6.09,3.0,$-56.96,-3.0,$-58.99,$0.00,0.0
SPWH,0.0,$0.00,$0.00,$-600.01,200.0,$-8.00,-200.0,$-5.00,$0.00,0.0
SPXX,0.0,$0.00,$0.00,$30.05,400.0,$-15.00,-400.0,$-14.78,$117.60,0.0
SPY,0.0,$0.00,$0.00,$241.57,45.0,$-410.89,-45.0,$-413.14,$0.00,0.0
SPYD,0.0,$0.00,$0.00,$19.97,100.0,$-36.00,-100.0,$-36.20,$0.00,0.0
SPYI,0.0,$0.00,$0.00,$890.12,750.0,$-49.16,-750.0,$-48.41,$1451.11,0.0
SPYV,0.0,$0.00,$0.00,$12.35,33.0,$-40.63,-33.0,$-41.00,$0.00,0.0
STAG,0.0,$0.00,$0.00,$892.90,480.0,$-33.98,-480.0,$-35.69,$74.11,0.0
STRL,0.0,$0.00,$0.00,$192.49,10.0,$-61.50,-10.0,$-80.75,$0.00,0.0
STWD,0.0,$0.00,$0.00,$2530.99,1221.0,$-16.99,-1221.0,$-18.89,$213.12,0.0
SU,0.0,$0.00,$0.00,$151.01,175.0,$-29.78,-175.0,$-30.56,$14.62,0.0
SVOL,0.0,$0.00,$0.00,$666.67,623.0,$-22.64,-623.0,$-22.39,$436.46,0.0
SXC,0.0,$0.00,$0.00,$54.98,200.0,$-7.81,-200.0,$-8.00,$16.00,0.0
T,0.0,$0.00,$0.00,$902.76,1400.0,$-15.17,-1400.0,$-15.57,$27.75,0.0
TBIL,0.0,$0.00,$0.00,$53.47,213.0,$-49.91,-213.0,$-49.99,$35.88,0.0
TCPC,0.0,$0.00,$0.00,$82.60,1000.0,$-12.11,-1000.0,$-11.25,$677.00,0.0
TDG,0.0,$0.00,$0.00,$469.93,10.0,$-800.00,-10.0,$-846.99,$0.00,0.0
TEX,0.0,$0.00,$0.00,$112.18,33.0,$-54.35,-33.0,$-57.75,$0.00,0.0
TFC,0.0,$0.00,$0.00,$135.95,200.0,$-30.00,-200.0,$-30.68,$0.00,0.0
TGLS,0.0,$0.00,$0.00,$203.22,50.0,$-40.00,-50.0,$-44.06,$0.00,0.0
THQ,0.0,$0.00,$0.00,$349.17,520.0,$-18.92,-520.0,$-18.83,$396.01,0.0
TNK,0.0,$0.00,$0.00,$704.98,107.0,$-40.21,-107.0,$-45.63,$125.00,0.0
TPVG,0.0,$0.00,$0.00,$1007.15,1000.0,$-11.69,-1000.0,$-12.30,$400.00,0.0
TRIN,0.0,$0.00,$0.00,$1949.94,500.0,$-11.63,-500.0,$-15.00,$265.00,0.0
TRMD,0.0,$0.00,$0.00,$2626.62,1045.0,$-26.20,-1045.0,$-28.26,$474.50,0.0
TRNO,0.0,$0.00,$0.00,$-249.04,100.0,$-63.26,-100.0,$-60.77,$0.00,0.0
TROW,0.0,$0.00,$0.00,$507.64,300.0,$-113.91,-300.0,$-114.42,$248.00,0.0
TRTX,0.0,$0.00,$0.00,$1191.00,1250.0,$-6.80,-1250.0,$-7.52,$300.00,0.0
TSCO,0.0,$0.00,$0.00,$24.98,10.0,$-212.50,-10.0,$-215.00,$0.00,0.0
TSLA,0.0,$0.00,$0.00,$305.38,240.0,$-167.55,-240.0,$-168.82,$0.00,0.0
UBER,0.0,$0.00,$0.00,$28.97,100.0,$-31.80,-100.0,$-32.09,$0.00,0.0
UEC,0.0,$0.00,$0.00,$293.32,1000.0,$-5.84,-1000.0,$-6.00,$0.00,0.0
UNG,0.0,$0.00,$0.00,$22.75,0.0,$0.00,0.0,$0.00,$0.00,0.0
UNIT,0.0,$0.00,$0.00,$49.97,1000.0,$-3.40,-1000.0,$-3.45,$0.00,0.0
UNTC,0.0,$0.00,$0.00,$24.96,100.0,$-44.00,-100.0,$-44.25,$0.00,0.0
UPBD,0.0,$0.00,$0.00,$-216.81,500.0,$-34.23,-500.0,$-32.11,$185.00,0.0
URA,0.0,$0.00,$0.00,$358.23,500.0,$-29.18,-500.0,$-28.00,$0.00,0.0
USA,0.0,$0.00,$0.00,$556.86,2010.0,$-6.55,-2010.0,$-6.51,$640.00,0.0
USB,0.0,$0.00,$0.00,$695.93,200.0,$-36.00,-200.0,$-39.00,$96.00,0.0
UTF,0.0,$0.00,$0.00,$390.62,800.0,$-21.34,-800.0,$-21.50,$263.50,0.0
UTG,0.0,$0.00,$0.00,$366.28,433.0,$-27.96,-433.0,$-27.49,$569.81,0.0
V,0.0,$0.00,$0.00,$31.81,6.0,$-227.38,-6.0,$-232.68,$0.00,0.0
VB,0.0,$0.00,$0.00,$764.76,100.0,$-213.33,-100.0,$-215.00,$67.69,0.0
VGR,0.0,$0.00,$0.00,$108.11,100.0,$-12.00,-100.0,$-13.08,$0.00,0.0
VIG,0.0,$0.00,$0.00,$9.55,40.0,$-155.76,-40.0,$-156.00,$0.00,0.0
VNO,0.0,$0.00,$0.00,$63.01,130.0,$-15.20,-130.0,$-15.68,$0.00,0.0
VST,0.0,$0.00,$0.00,$1115.81,200.0,$-72.06,-200.0,$-70.00,$0.00,0.0
VTI,0.0,$0.00,$0.00,$129.30,25.0,$-200.22,-25.0,$-205.39,$0.00,0.0
VTS,0.0,$0.00,$0.00,$1.98,5.0,$-19.50,-5.0,$-19.90,$0.00,0.0
VTWO,0.0,$0.00,$0.00,$3626.44,50.0,$-70.75,-100.0,$-71.64,$0.00,50.0
VUSE,0.0,$0.00,$0.00,$4.99,10.0,$-44.06,-10.0,$-44.56,$0.00,0.0
VV,0.0,$0.00,$0.00,$15.96,20.0,$-187.50,-20.0,$-188.30,$0.00,0.0
VWAPY,0.0,$0.00,$0.00,$-239.42,320.0,$-13.64,-320.0,$-12.29,$193.04,0.0
VZ,0.0,$0.00,$0.00,$532.72,200.0,$-40.00,-200.0,$-41.00,$133.00,0.0
WBD,0.0,$0.00,$0.00,$-39.81,20.0,$-14.99,-20.0,$-13.00,$0.00,0.0
WFC,0.0,$0.00,$0.00,$493.71,104.8,$-37.33,-104.8,$-42.02,$1.67,0.0
WHF,0.0,$0.00,$0.00,$364.58,1360.0,$-13.11,-1360.0,$-12.67,$1019.25,0.0
WMB,0.0,$0.00,$0.00,$108.65,0.0,$0.00,0.0,$0.00,$0.00,0.0
WSR,0.0,$0.00,$0.00,$324.77,450.0,$-8.80,-450.0,$-9.46,$26.00,0.0
WTTR,0.0,$0.00,$0.00,$-0.10,5.0,$-7.48,-5.0,$-7.46,$0.00,0.0
WU,0.0,$0.00,$0.00,$401.80,555.0,$-11.92,-555.0,$-12.50,$78.26,0.0
WY,0.0,$0.00,$0.00,$0.49,2.0,$-29.88,-2.0,$-30.13,$0.00,0.0
XEL,0.0,$0.00,$0.00,$104.99,200.0,$-53.76,-200.0,$-55.73,$0.00,0.0
XLF,0.0,$0.00,$0.00,$11.28,12.0,$-38.14,-12.0,$-39.08,$0.00,0.0
XLP,0.0,$0.00,$0.00,$11.22,50.0,$-75.58,-50.0,$-75.80,$0.00,0.0
XLRE,0.0,$0.00,$0.00,$148.58,200.0,$-38.85,-200.0,$-39.00,$0.00,0.0
XLV,0.0,$0.00,$0.00,$208.64,144.0,$-134.59,-144.0,$-135.45,$0.00,0.0
XMHQ,0.0,$0.00,$0.00,$72.98,25.0,$-80.00,-25.0,$-82.92,$0.00,0.0
XOM,0.0,$0.00,$0.00,$162.40,100.0,$-104.45,-100.0,$-106.07,$0.00,0.0
XYLD,0.0,$0.00,$0.00,$106.45,250.0,$-40.70,-250.0,$-40.75,$93.99,0.0
Y6430L160,0.0,$0.00,$0.00,$0.00,0.0,$0.00,0.0,$0.00,$0.00,0.0
ZS,0.0,$0.00,$0.00,$525.04,37.0,$-103.28,-37.0,$-117.47,$0.00,0.0
